name,category,status,flags,serving_label,serving_grams,calories,protein_g,carbs_g,fat_g,fibre_g,sodium_mg,sugar_g,confidence
Mixed grill plate,Middle Eastern & Mediterranean,succeeded,LOW_CONFIDENCE,"1 serve (~450g, includes steak, sausage, lamb chop, egg, bacon, chips/salad)",450,980,62,45,62,4.5,1600,6,low
Lamb shoulder tagine,Middle Eastern & Mediterranean,succeeded,,1 serve (~420g),420,520,34,28,30,6,780,12,medium
Chicken biryani Lebanese style,Middle Eastern & Mediterranean,succeeded,,1 serve (~450g),450,650,34,75,23,4,850,6,medium
Baklawa,Middle Eastern & Mediterranean,succeeded,,2 pieces (~80g),80,320,4.5,35,18,1.5,120,24,medium
Konafa,Middle Eastern & Mediterranean,succeeded,,1 slice (~150g),150,480,8.5,58,25,1.5,180,38,medium
Umm ali,Middle Eastern & Mediterranean,succeeded,,1 serve (~200g),200,420,8.5,40,26,1.5,220,24,medium
Turkish coffee dessert,Middle Eastern & Mediterranean,succeeded,LOW_CONFIDENCE,1 serve (~120g),120,280,4.5,26,18,0.5,45,22,low
Halva,Middle Eastern & Mediterranean,succeeded,,1 piece (~50g),50,250,4.5,25,15.5,1.5,40,20,medium
Stuffed vine leaves,Middle Eastern & Mediterranean,succeeded,,6 pieces (~180g),180,280,4.5,32,15,3.5,520,2,medium
Kibbeh nayeh,Middle Eastern & Mediterranean,succeeded,,1 serve (~200g),200,380,24,18,24,2.5,480,1,medium
Falafel salad plate,Middle Eastern & Mediterranean,succeeded,,1 serve (~450g),450,520,15,45,32,10,780,8,medium
Greek moussaka bake,Middle Eastern & Mediterranean,succeeded,,1 serve (~400g),400,560,26,28,38,4.5,720,10,medium
Grilled octopus,Middle Eastern & Mediterranean,succeeded,,1 serve (~250g),250,320,36,8,16,1,620,1.5,medium
Calamari Greek style,Middle Eastern & Mediterranean,succeeded,,1 serve (~300g),300,720,28,45,46,2.5,780,2,medium
Feta and olive plate,Middle Eastern & Mediterranean,succeeded,,1 serve (~150g),150,320,9.5,4,29,2,1350,1.5,medium
Pita and dips platter,Middle Eastern & Mediterranean,succeeded,LOW_CONFIDENCE,1 share platter serve (~250g),250,520,14,52,29,5.5,780,4,low
Chicken shish kebab,Middle Eastern & Mediterranean,succeeded,,1 serve with pita and salad (~350g),350,550,38,45,22,4,850,6,medium
Beef kofta plate,Middle Eastern & Mediterranean,succeeded,,"1 plate (~450g, 4 koftas with rice/salad)",450,620,34,55,30,5,900,6,medium
Lamb shish kebab,Middle Eastern & Mediterranean,succeeded,,1 skewer with pita/salad (~350g),350,620,38,42,33,4,780,6,medium
Beef burrito,Mexican & Latin American,succeeded,,1 burrito (~350g),350,700,34,70,32,6,1350,4,medium
Chicken burrito,Mexican & Latin American,succeeded,,1 burrito (~350g),350,620,34,65,24,6,1250,5,medium
Bean burrito,Mexican & Latin American,succeeded,,1 burrito (~200g),200,380,14,55,11,8,850,3,medium
Tacos,Mexican & Latin American,succeeded,,3 tacos (~330g),330,620,30,48,34,6,980,5,medium
Beef tacos,Mexican & Latin American,succeeded,,3 tacos (~360g),360,560,30,45,29,5.5,950,5,medium
Chicken tacos,Mexican & Latin American,succeeded,,3 tacos (~330g),330,560,32,55,22,5,950,5,medium
Fish tacos,Mexican & Latin American,succeeded,,2 tacos (~350g),350,520,26,52,24,5,780,6,medium
Pork tacos,Mexican & Latin American,succeeded,,3 tacos (~330g),330,650,32,60,30,6,950,6,medium
Nachos,Mexican & Latin American,succeeded,LOW_CONFIDENCE,1 share serve (~450g),450,980,34,78,58,8,1450,6,low
Loaded nachos,Mexican & Latin American,succeeded,LOW_CONFIDENCE,1 share serve (~450g),450,950,38,70,58,8,1600,6,low
Quesadilla,Mexican & Latin American,succeeded,,"1 serve (~250g, one large quesadilla cut in wedges)",250,620,32,48,34,3.5,1150,3,medium
Chicken quesadilla,Mexican & Latin American,succeeded,,"1 serve (~250g, 1 large quesadilla)",250,560,32,42,29,3,980,3,medium
Beef quesadilla,Mexican & Latin American,succeeded,,1 quesadilla (~250g),250,620,34,45,34,3.5,1150,3,medium
Empanada,Mexican & Latin American,succeeded,,1 empanada (~120g),120,310,9.5,28,18,1.5,420,1.5,medium
Beef empanada,Mexican & Latin American,succeeded,,1 empanada (~120g),120,300,11,27,17,1.8,420,1.5,medium
Chicken empanada,Mexican & Latin American,succeeded,,1 empanada (~120g),120,290,10.5,28,15.5,1.8,420,2,medium
Enchiladas,Mexican & Latin American,succeeded,,"1 serve (~350g, 3 enchiladas)",350,620,30,48,34,6,1150,5,medium
Chicken enchiladas,Mexican & Latin American,succeeded,,2 enchiladas (~350g),350,560,32,42,29,5,1150,5,medium
Beef enchiladas,Mexican & Latin American,succeeded,,2 enchiladas (~400g),400,620,32,46,34,5,1250,6,medium
Burrito bowl,Mexican & Latin American,succeeded,,1 bowl (~500g),500,650,38,65,26,9,1350,6,medium
Chipotle bowl,Mexican & Latin American,succeeded,,1 bowl (~500g),500,700,40,70,28,10,1500,5,medium
Guacamole with chips,Mexican & Latin American,succeeded,,"1 serve (~170g, guac + chips)",170,420,5.5,40,27,6.5,480,2,medium
Mexican rice,Mexican & Latin American,succeeded,,1 side serve (~150g),150,210,4,36,5.5,2,420,3,medium
Refried beans,Mexican & Latin American,succeeded,,1 serve (~150g),150,165,8.5,21,5.5,8,480,1,medium
Churros,Mexican & Latin American,succeeded,,"1 serve (~6 churros with sauce, ~120g)",120,420,5.5,52,21,1.8,320,24,medium
Fajitas,Mexican & Latin American,succeeded,,"1 serve (~400g, 2-3 tortillas with chicken, veg & toppings)",400,680,38,58,32,6,1300,8,medium
Chicken fajitas,Mexican & Latin American,succeeded,,1 serve with 2-3 tortillas (~450g),450,620,38,58,25,6,1050,6.5,medium
Beef fajitas,Mexican & Latin American,succeeded,,"1 serve (~400g, 3 tortillas with beef and vegetables)",400,720,38,62,34,6,1250,6,medium
Tamales,Mexican & Latin American,succeeded,,2 tamales (~200g),200,340,12,32,19,3,620,2,medium
Chilaquiles,Mexican & Latin American,succeeded,,1 serve (~350g),350,480,17,40,30,5,780,6,medium
Tostadas,Mexican & Latin American,succeeded,,2 tostadas (~200g),200,380,16,32,22,5,640,3,medium
Ceviche,Mexican & Latin American,succeeded,,1 serve (~250g),250,180,22,12,4.5,1.5,480,3.5,medium
Pozole,Mexican & Latin American,succeeded,,1 bowl (~450g),450,380,26,32,17,6,980,4,medium
Carnitas,Mexican & Latin American,succeeded,,1 serve (~200g),200,430,34,0,32,0,620,0,medium
Al pastor tacos,Mexican & Latin American,succeeded,,3 tacos (~270g),270,430,24,36,21,4.5,620,5.5,medium
Elote,Mexican & Latin American,succeeded,,1 ear (~150g),150,250,6.5,24,16,3.5,380,6,medium
Mexican street corn,Mexican & Latin American,succeeded,,1 ear (~150g),150,220,6.5,22,13,3,380,6,medium
Arepas,Mexican & Latin American,succeeded,,2 arepas (~120g),120,260,5.5,45,7,4,380,0.5,medium
Colombian empanadas,Mexican & Latin American,succeeded,,3 empanadas (~180g),180,480,14,42,28,3,620,1.5,medium
Brazilian feijoada,Mexican & Latin American,succeeded,,"1 serve (~400g, with rice)",400,620,34,48,32,10,980,3,medium
Brazilian churrasco,Mexican & Latin American,succeeded,,1 serve (~300g),300,650,55,3,47,0.5,950,1,medium
Peruvian ceviche,Mexican & Latin American,succeeded,,1 serve (~300g),300,250,28,18,6,2.5,620,4,medium
Cuban sandwich,Mexican & Latin American,succeeded,,1 sandwich (~300g),300,820,45,62,42,3.5,2100,6,medium
Argentinian steak,Mexican & Latin American,succeeded,,1 serve (~300g steak),300,690,65,1,48,0,620,0,medium
Chimichurri steak,Mexican & Latin American,succeeded,,1 serve (~300g steak with sauce),300,540,47,3,38,1,620,0.5,medium
Mole chicken,Mexican & Latin American,succeeded,,"1 serve (~350g, chicken + mole sauce)",350,480,34,22,28,4.5,780,8,medium
Mac and cheese,American/Western comfort & fast food,succeeded,,1 serve (~300g),300,450,18,42,24,2,780,6,medium
Fried chicken,American/Western comfort & fast food,succeeded,,3 pieces (~300g),300,810,51,30,54,1.5,980,1,medium
Buffalo wings,American/Western comfort & fast food,succeeded,,"1 serve (~6 wings, 300g)",300,720,42,6,56,0.5,1450,1.5,medium
Chicken tenders,American/Western comfort & fast food,succeeded,,5 pieces (~150g),150,380,22,24,21,1.5,680,1,medium
Chicken nuggets,American/Western comfort & fast food,succeeded,,6 pieces (~100g),100,280,14,18,17,1,490,1,high
Onion rings,American/Western comfort & fast food,succeeded,,"1 serve (~150g, ~8-10 rings)",150,420,5.5,45,24,2.5,620,4.5,medium
Hot dog American style,American/Western comfort & fast food,succeeded,,1 hot dog with bun (~150g),150,340,13,30,19,1.5,900,6,medium
Chilli con carne,American/Western comfort & fast food,succeeded,,1 serve (~350g),350,420,28,28,20,8,780,8,medium
Clam chowder,American/Western comfort & fast food,succeeded,,1 bowl (~300g),300,300,12,25,17,2,950,4,medium
Baked mac and cheese,American/Western comfort & fast food,succeeded,,1 serve (~350g),350,490,20.5,42,27,2,750,6,medium
BBQ ribs,American/Western comfort & fast food,succeeded,,1 serve (~350g),350,850,45,35,58,1,1400,28,medium
Pulled pork sandwich,American/Western comfort & fast food,succeeded,,1 sandwich (~280g),280,620,34,58,27,3,1150,18,medium
Coleslaw,American/Western comfort & fast food,succeeded,,1 side serve (~150g),150,210,1.7,11,18,2.5,260,8.5,medium
Cornbread,American/Western comfort & fast food,succeeded,,1 piece (~65g),65,200,4.2,29,7.5,1.5,380,8.5,medium
Meatloaf,American/Western comfort & fast food,succeeded,,2 slices (~200g),200,380,24,14,25,1.2,700,6,medium
Fried chicken sandwich,American/Western comfort & fast food,succeeded,,1 sandwich (~250g),250,620,30,52,32,3,1100,8,medium
Popcorn chicken,American/Western comfort & fast food,succeeded,,1 serve (~180g),180,470,24,32,27,1.5,780,1.5,medium
Corn on the cob,American/Western comfort & fast food,succeeded,,"1 cob (~150g), with butter",150,155,4.3,25,5.5,3.5,130,6,medium
Baked potato with sour cream,American/Western comfort & fast food,succeeded,,1 medium potato with sour cream (~300g),300,310,7,44,12,4.5,220,3.5,medium
Loaded fries,American/Western comfort & fast food,succeeded,LOW_CONFIDENCE,1 serve (~400g),400,980,28,78,62,6,1450,5,low
Poutine,American/Western comfort & fast food,succeeded,,1 serve (~400g),400,740,20,68,44,4.5,1450,2.5,medium
Chicken and waffles,American/Western comfort & fast food,succeeded,,"1 serve (2 waffles + 2 fried chicken pieces, ~400g)",400,980,42,78,56,3,1450,20,medium
Philly cheesesteak fries,American/Western comfort & fast food,succeeded,LOW_CONFIDENCE,1 serve (~450g),450,980,40,70,62,5,1400,3.5,low
Buffalo cauliflower,American/Western comfort & fast food,succeeded,,1 serve (~250g),250,380,7,32,25,5.5,980,6,medium
Southern fried chicken,American/Western comfort & fast food,succeeded,,3 pieces (~350g),350,890,55,35,58,1.5,1350,1,medium
Biscuits and gravy,American/Western comfort & fast food,succeeded,,2 biscuits with gravy (~300g),300,620,14,50,40,2.5,1450,4,medium
Sloppy joe,American/Western comfort & fast food,succeeded,,1 sandwich (~230g),230,410,20,38,19,3,830,10,medium
French fries,American/Western comfort & fast food,succeeded,,1 regular serve (~150g),150,460,5.5,56,24,5,400,0.5,high
Curly fries,American/Western comfort & fast food,succeeded,,1 regular serve (~150g),150,420,5,50,22,4.5,620,1,medium
Waffle fries,American/Western comfort & fast food,succeeded,,1 regular serve (~120g),120,340,4,42,17,4,480,0.5,medium
Cheese fries,American/Western comfort & fast food,succeeded,,1 serve (~350g),350,950,22,85,58,6,1100,2,medium
Jalapeno poppers,American/Western comfort & fast food,succeeded,,6 pieces (~150g),150,420,12,30,28,2,700,3,medium
Mozzarella sticks American style,American/Western comfort & fast food,succeeded,,"1 serve, 6 sticks (~150g) with marinara sauce",150,440,19,34,25,2,980,4,medium
Chicken fried steak,American/Western comfort & fast food,succeeded,,"1 serve (~350g, steak + gravy)",350,700,32,35,46,2,1300,3,medium
Ribeye steak,American/Western comfort & fast food,succeeded,,1 serve (~300g cooked),300,750,68,0,52,0,480,0,medium
T-bone steak,American/Western comfort & fast food,succeeded,,1 steak (~300g),300,670,62,0,46,0,620,0,medium
Steak and eggs,American/Western comfort & fast food,succeeded,,"1 serve (~350g, steak + 2 eggs)",350,650,52,2,47,0.2,620,0.5,medium
Grilled cheese with tomato soup,American/Western comfort & fast food,succeeded,,1 sandwich + 1 cup soup (~380g),380,560,19,55,31,4,1450,13,medium
Turkey club,American/Western comfort & fast food,succeeded,,"1 sandwich (3 slices toast, ~330g)",330,620,34,46,34,4,1450,6,medium
Cobb salad,American/Western comfort & fast food,succeeded,,1 serve (~400g),400,620,38,12,47,4.5,1150,4,medium
Chicken caesar salad American style,American/Western comfort & fast food,succeeded,,1 serve (~400g),400,620,35,20,44,3.5,1050,4,medium
Pulled pork nachos,American/Western comfort & fast food,succeeded,,1 serve (~450g),450,780,38,58,42,6,1350,8,medium
Brisket sandwich,American/Western comfort & fast food,succeeded,,1 sandwich (~300g),300,680,38,55,33,3,1300,12,medium
Smoked brisket,American/Western comfort & fast food,succeeded,,1 serve (~200g),200,470,42,2,33,0.3,780,1,medium
Mac and cheese bites,American/Western comfort & fast food,succeeded,,6 pieces (~120g),120,340,10,30,20,1.5,560,3,medium
Deep dish pizza,American/Western comfort & fast food,succeeded,,"1 slice (~1/8 of 12-inch pizza, ~220g)",220,560,24,52,29,3,1150,6,medium
New york style pizza,American/Western comfort & fast food,succeeded,,1 large slice (~150g),150,380,16,45,15,2.5,780,4,medium
Bagel with lox,American/Western comfort & fast food,succeeded,,1 bagel with lox and cream cheese (~170g),170,380,20,48,12,2,950,6,medium
Philadelphia cheesesteak,American/Western comfort & fast food,succeeded,,1 sandwich (~300g),300,700,38,55,35,3,1200,6,medium
Baked beans American style,American/Western comfort & fast food,succeeded,,1 cup (~260g),260,245,12.4,46,1.6,11.5,890,17.5,medium
Cornbread with butter,American/Western comfort & fast food,succeeded,,1 slice/piece with butter (~65g),65,210,4,28,9.5,1.5,380,8,medium
Fried pickles,American/Western comfort & fast food,succeeded,,1 serve (~150g),150,400,6.5,40,24,2.5,1200,4,medium
Hush puppies,American/Western comfort & fast food,succeeded,,"1 serve (~6 pieces, 120g)",120,340,6.5,40,17,2,620,5,medium
Shrimp and grits,American/Western comfort & fast food,succeeded,,1 serve (~400g),400,560,28,40,32,2.5,980,3,medium
Gumbo,American/Western comfort & fast food,succeeded,,1 bowl (~400g) with rice,400,420,24,32,22,3,1150,4,medium
Jambalaya,American/Western comfort & fast food,succeeded,,1 serve (~400g),400,520,28,55,20,3.5,1100,6,medium
Fish pie,British/European classics,succeeded,,1 serve (~400g),400,520,30,42,25,4,780,6,medium
Shepherd's pie,British/European classics,succeeded,,1 serve (~400g),400,460,24,38,23,5,680,6,medium
Cottage pie,British/European classics,succeeded,,1 serve (~400g),400,480,24,38,25,5,700,8,medium
Beef stroganoff,British/European classics,succeeded,,1 serve (~400g),400,560,32,45,27,3.5,780,6,medium
Chicken schnitzel European style,British/European classics,succeeded,,1 serve (~300g),300,650,42,38,35,2.5,780,3,medium
Wiener schnitzel,British/European classics,succeeded,,1 serve with lemon wedge (~250g),250,580,38,30,34,2,780,2,medium
Goulash,British/European classics,succeeded,,1 serve (~400g),400,480,28,30,26,4,850,8,medium
Beef bourguignon,British/European classics,succeeded,,1 serve (~400g),400,520,34,18,32,3,780,5,medium
Coq au vin,British/European classics,succeeded,,"1 serve (~400g, chicken + sauce)",400,520,38,10,32,1.5,780,4,medium
Toad in the hole,British/European classics,succeeded,,"1 serve (~350g, sausages with batter and gravy)",350,620,24,40,40,2.5,1200,4,medium
Bangers and mash,British/European classics,succeeded,,1 serve (~450g),450,680,26,45,42,5,1350,7,medium
Steak and kidney pie,British/European classics,succeeded,,1 individual pie (~250g),250,650,28,42,40,2.5,950,3,medium
Yorkshire pudding,British/European classics,succeeded,,1 piece (~40g),40,95,3.3,11,4.2,0.4,140,0.6,high
Roast beef with Yorkshire pudding,British/European classics,succeeded,,"1 serve (~350g, incl. gravy)",350,520,35,30,27,3.5,620,4,medium
Ploughman's lunch,British/European classics,succeeded,LOW_CONFIDENCE,1 serve (~400g),400,780,32,55,46,5.5,1450,12,low
Cornish pasty,British/European classics,succeeded,,1 pasty (~220g),220,580,16.5,52,34,3.5,780,3,medium
Full English breakfast,British/European classics,succeeded,,1 serve (~450g),450,850,38,40,60,5,1650,6,medium
Chicken kiev,British/European classics,succeeded,,1 serve (~250g),250,570,35,20,38,1,780,1.5,medium
Beef wellington,British/European classics,succeeded,,1 slice (~300g),300,720,34,38,48,2.5,780,3,medium
Sunday roast,British/European classics,succeeded,LOW_CONFIDENCE,1 serve (~450g),450,650,40,45,32,7,850,8,low
Pork belly with crackling,British/European classics,succeeded,,1 serve (~250g),250,720,38,4,60,0,780,1,medium
Duck confit,British/European classics,succeeded,,1 leg serve (~200g),200,520,32,1,42,0,780,0.3,medium
French onion soup,British/European classics,succeeded,,1 bowl (~350g),350,310,12,26,17,2.5,1200,9,medium
Quiche lorraine,British/European classics,succeeded,,1 slice (~150g),150,420,12.5,22,31,1.2,560,2.5,high
Croque monsieur,British/European classics,succeeded,,1 sandwich (~200g),200,520,28,32,32,1.8,980,4,high
Ratatouille,British/European classics,succeeded,,1 serve (~300g),300,180,3.5,15,12,6.5,420,10,medium
Paella,British/European classics,succeeded,,1 serve (~450g),450,620,32,68,23,4,980,5,medium
Tortilla espanola,British/European classics,succeeded,,1 wedge/slice (~150g),150,260,7.5,15,18.5,1.5,320,1.2,medium
Spanish omelette,British/European classics,succeeded,,1 wedge/slice (~180g),180,300,12.5,18,20,1.8,400,2.5,medium
Chorizo and beans,British/European classics,succeeded,,1 serve (~350g),350,480,24,30,30,9,1350,6,medium
Gazpacho,British/European classics,succeeded,,1 bowl (~300g),300,120,2.5,13,7,2.5,480,8,medium
Polish pierogi,British/European classics,succeeded,,"1 serve (~7 pierogi, 350g)",350,560,16,68,24,4,780,3.5,medium
German sausage with sauerkraut,British/European classics,succeeded,,"1 serve (~350g, 2 sausages with sauerkraut)",350,620,24,12,50,4,1900,6,medium
Bratwurst,British/European classics,succeeded,,1 sausage (~150g),150,430,18,3,38,0,900,1,medium
Schnitzel with chips,British/European classics,succeeded,,1 serve (~450g),450,980,42,78,55,6,950,3,medium
Beef goulash with dumplings,British/European classics,succeeded,,1 serve (~450g),450,620,34,55,28,5,950,8,medium
Irish stew,British/European classics,succeeded,,1 serve (~450g),450,480,25,35,25,5,850,6,medium
Colcannon,British/European classics,succeeded,,1 serve (~250g),250,290,6.5,28,17,5.5,480,4.5,medium
Haggis,British/European classics,succeeded,,1 serve (~200g),200,480,20,24,34,3,900,1,medium
Swedish meatballs,British/European classics,succeeded,,"1 serve (~350g, 8-10 meatballs with sauce and mash)",350,620,28,38,38,3,950,6,medium
Caesar salad,Salads & grain bowls,succeeded,,1 entrée serve (~300g),300,470,14,14,40,3,890,3,medium
Chicken caesar salad,Salads & grain bowls,succeeded,,1 serve (~350g),350,520,32,16,36,3.5,980,3,medium
Garden salad,Salads & grain bowls,succeeded,,1 serve (~150g),150,45,1.5,6,1.5,2.5,20,4,medium
Poke bowl,Salads & grain bowls,succeeded,LOW_CONFIDENCE,1 bowl (~500g),500,620,32,70,22,6,950,9,low
Buddha bowl,Salads & grain bowls,succeeded,LOW_CONFIDENCE,1 bowl (~450g),450,520,16,55,27,11,480,9,low
Quinoa salad,Salads & grain bowls,succeeded,,1 serve (~250g),250,320,9.5,33,16,6.5,380,6,medium
Superfood salad,Salads & grain bowls,succeeded,LOW_CONFIDENCE,1 serve (~350g),350,420,10.5,32,27,8.5,380,12,low
Kale salad,Salads & grain bowls,succeeded,LOW_CONFIDENCE,1 serve (~200g),200,220,5.5,13,16,4.5,280,5,low
Waldorf salad,Salads & grain bowls,succeeded,,1 serve (~200g),200,280,3,15,23,2.5,200,12,medium
Potato salad,Salads & grain bowls,succeeded,,1 serve (~150g),150,220,3.5,18,15,2,320,3.5,medium
Pasta salad,Salads & grain bowls,succeeded,,1 serve (~200g),200,320,7.5,32,18,2.5,420,5,medium
Rice salad,Salads & grain bowls,succeeded,,1 serve (~200g),200,320,5.5,42,14,2.5,380,6,medium
Vietnamese chicken salad,Salads & grain bowls,succeeded,,1 serve (~350g),350,320,25,20,15,5,780,12,medium
Nicoise salad,Salads & grain bowls,succeeded,,1 serve (~350g),350,420,22,18,28,4.5,780,6,medium
Grilled chicken salad,Salads & grain bowls,succeeded,,1 serve (~350g),350,380,32,14,21,4.5,620,6.5,medium
Roast pumpkin salad,Salads & grain bowls,succeeded,,1 serve (~300g),300,360,8.5,24,25,5.5,380,10,medium
Beetroot and feta salad,Salads & grain bowls,succeeded,,1 serve (~200g),200,260,7.5,14,19,4,480,10,medium
Chickpea salad,Salads & grain bowls,succeeded,,1 serve (~200g),200,260,8.5,24,14,7,380,4,medium
Lentil salad,Salads & grain bowls,succeeded,,1 serve (~200g),200,260,10.5,24,13.5,8,380,4.5,medium
Couscous salad Mediterranean,Salads & grain bowls,succeeded,,1 serve (~200g),200,290,7,34,14,4,420,5,medium
Soba noodle salad,Salads & grain bowls,succeeded,,1 serve (~300g),300,380,12.5,58,11,5,780,9,medium
Asian slaw,Salads & grain bowls,succeeded,,1 side serve (~150g),150,160,2.8,12.5,11,3.2,320,9.5,medium
Tabbouleh salad,Salads & grain bowls,succeeded,,1 serve (~150g),150,165,3.2,14.5,11,4,260,3.5,medium
Fattoush,Salads & grain bowls,succeeded,,1 serve (~250g),250,220,4.5,20,14,5,380,6,medium
Halloumi and roast veg salad,Salads & grain bowls,succeeded,,1 serve (~350g),350,480,18.5,25,33,6.5,890,12,medium
Prawn salad,Salads & grain bowls,succeeded,,1 serve (~300g),300,320,22,12,21,3,480,7,medium
Warm quinoa bowl,Salads & grain bowls,succeeded,LOW_CONFIDENCE,1 serve (~400g),400,480,14.5,55,22,9,480,8,low
Falafel salad bowl,Salads & grain bowls,succeeded,,1 serve (~400g),400,480,15,45,27,10,680,8,medium
Mexican salad bowl,Salads & grain bowls,succeeded,LOW_CONFIDENCE,1 serve (~400g),400,480,22,38,27,8,780,6.5,low
Grain bowl with tofu,Salads & grain bowls,succeeded,,1 bowl (~450g),450,520,20.5,58,24,9.5,620,7.5,medium
Brown rice power bowl,Salads & grain bowls,succeeded,LOW_CONFIDENCE,1 bowl (~420g),420,520,18.5,62,22,9.5,480,8,low
Sweet potato bowl,Salads & grain bowls,succeeded,LOW_CONFIDENCE,1 bowl (~450g),450,480,12,62,20,9,480,12,low
Vegan buddha bowl,Salads & grain bowls,succeeded,LOW_CONFIDENCE,1 bowl (~450g),450,480,14.5,58,22,12,520,10,low
Roast vegetable salad,Salads & grain bowls,succeeded,,1 serve (~300g),300,320,6.5,28,20,6.5,320,10,medium
Pumpkin soup,Soups & stews,succeeded,,1 serve (~300g),300,180,3.5,16,11,3.5,620,8,medium
Chicken noodle soup,Soups & stews,succeeded,,1 bowl (~350g),350,210,16.5,22,6,1.8,980,3,medium
Beef stew,Soups & stews,succeeded,,1 serve (~400g),400,420,30,24,20,4,780,6,medium
Laksa,Soups & stews,succeeded,,1 serve (~550g),550,620,28,55,34,3.5,1600,6,medium
Chicken laksa,Soups & stews,succeeded,,1 bowl (~550g),550,620,32,48,35,4,1450,8,medium
Vegetable soup,Soups & stews,succeeded,,1 bowl (~350g),350,110,3.5,16,3.5,3.5,780,6,medium
Tomato soup,Soups & stews,succeeded,,1 bowl (~250g),250,140,2.8,18,6.5,2,780,11,medium
Broccoli and cheese soup,Soups & stews,succeeded,,1 bowl (~350g),350,310,12.5,16,21,3,950,5.5,medium
Corn soup,Soups & stews,succeeded,,1 bowl (~300g),300,150,4.5,24,4.5,2.5,700,9,medium
Lentil soup,Soups & stews,succeeded,,1 bowl (~300g),300,210,12.5,28,5.5,8,780,4.5,medium
Split pea soup,Soups & stews,succeeded,,1 bowl (~300g),300,240,14,36,5,8,780,5,medium
French onion soup Western,Soups & stews,succeeded,,1 bowl (~350g),350,280,10.5,24,15,2.5,1150,9,medium
Clam chowder soup,Soups & stews,succeeded,,1 bowl (~300g),300,285,12.5,22,17,1.8,980,4.5,medium
Seafood chowder,Soups & stews,succeeded,,1 bowl (~400g),400,420,20.5,28,25,2.5,980,6,medium
Beef and vegetable soup,Soups & stews,succeeded,,1 bowl (~350g),350,180,15,12,7,2.5,780,4,medium
Chicken and corn soup,Soups & stews,succeeded,,1 bowl (~300g),300,180,12.5,20,5.5,1.8,780,6.5,high
Hot and sour soup Chinese,Soups & stews,succeeded,,1 bowl (~350g),350,180,9.5,16,8.5,1.5,980,3.5,medium
Wonton soup Chinese,Soups & stews,succeeded,,1 serve (~400g),400,220,14,20,9,1.5,1400,2,medium
Miso soup Japanese,Soups & stews,succeeded,,1 bowl (~250g),250,60,4.5,5.5,2.3,1.5,780,1.5,high
Tom yum soup Thai,Soups & stews,succeeded,,1 bowl (~350g),350,180,14,9,9,1.5,1200,4,medium
Pho soup Vietnamese,Soups & stews,succeeded,,1 serve (~600g),600,450,28,60,10,3,1800,6,medium
Goulash soup,Soups & stews,succeeded,,1 bowl (~350g),350,280,18,20,14,3,950,5,medium
Irish stew soup,Soups & stews,succeeded,,1 bowl (~350g),350,260,15,20,13,3,780,4,medium
Beef bourguignon stew,Soups & stews,succeeded,,1 serve (~400g),400,480,32,16,28,3,780,5,medium
Chicken stew,Soups & stews,succeeded,,1 serve (~400g),400,420,28,20,24,3.5,780,6,medium
Lamb stew,Soups & stews,succeeded,,1 serve (~400g),400,420,28,22,23,3.5,780,6,medium
Curry laksa,Soups & stews,succeeded,,1 bowl (~600g),600,620,24,55,36,4,1800,8,medium
Asian noodle soup,Soups & stews,succeeded,LOW_CONFIDENCE,1 bowl (~500g),500,380,18,52,10,3.5,1450,5,low
Ramen soup,Soups & stews,succeeded,,1 bowl (~600g),600,550,25,65,20,3,2200,5,medium
Udon soup,Soups & stews,succeeded,,1 bowl (~500g),500,380,14,62,8,3,1600,4,medium
Congee soup,Soups & stews,succeeded,,1 bowl (~350g),350,220,9,35,5,1,650,1,medium
Mushroom soup,Soups & stews,succeeded,,1 bowl (~250ml),250,165,3.5,12,11.5,1.5,780,3.5,medium
Carrot and ginger soup,Soups & stews,succeeded,,1 serve (~300g),300,165,3,18,9,4.5,620,11,medium
Sweet potato soup,Soups & stews,succeeded,,1 bowl (~300g),300,180,1.8,38,3,3.5,40,20,medium
Cauliflower soup,Soups & stews,succeeded,,1 bowl (~300g),300,210,5.5,15,14,3.5,780,6,medium
Chicken tortilla soup,Soups & stews,succeeded,,1 bowl (~350g),350,280,20,24,13,4,980,5,medium
Black bean soup,Soups & stews,succeeded,,1 bowl (~300g),300,210,12,32,4,9,750,3,medium
Gumbo stew,Soups & stews,succeeded,,1 serve (~400g),400,420,26,30,20,4,980,5,medium
Jambalaya stew,Soups & stews,succeeded,,1 serve (~400g),400,480,28,48,18,4,980,6,medium
Beef chilli stew,Soups & stews,succeeded,LOW_CONFIDENCE,1 serve (~350g),350,420,32,15,25,3,780,6,low
Lamb tagine stew,Soups & stews,succeeded,,1 serve (~400g),400,480,32,24,28,6,780,12,medium
Massaman beef stew,Soups & stews,succeeded,,1 serve (~400g),400,560,32,24,36,4,820,10,medium
Osso buco stew,Soups & stews,succeeded,,1 serve (~450g incl. shank + sauce),450,520,38,15,33,3,780,6,medium
Vegetable minestrone,Soups & stews,succeeded,,1 bowl (~350g),350,150,5.5,22,4.5,5,780,6,medium
Nasi goreng,Rice & noodle dishes,succeeded,,1 serve (~400g),400,620,22,78,24,3.5,1350,8,medium
Pad see ew noodles,Rice & noodle dishes,succeeded,,1 serve (~400g),400,620,28,70,24,4,1400,8,medium
